,,,,,,,,
2,Tourist Land Transport Operator,Caraga Butuan Transport Service Cooperative,"Baan KM3, Butuan City",9399198158,carbutransco082018@gmail.com,DOT-R13-TTO-00264-2022,30-Apr-26,Renewal
3,Tourist Land Transport Operator,LOVELY CENTURY TRANSPORT SERVICE,"Baan KM3, Butuan City",9279589942,lc121514@yahoo.com,DOT-R13-TTO-00243-2022,30-Apr-26,Renewal
,,,,,,,,
1,MICE Organizer,"KULTURE REVIVAL EVENTS CORE, INC.","Libertad, Butuan City, Agusan del Norte",9171261812,kulture.revivalofficial2022@gmail.com,DOT-R13-MCO-00905-2024,30-Jun-26,New
2,MICE Organizer,"ONE CORPORATE GRAND TOURS, INC.","Lower Doongan, Butuan City, Agusan del Norte",9178913556,cezlateo@gmail.com,DOT-R13-MCO-00952-2024,30-Jun-26,Renewal
,,,,,,,,
1,MICE Venue,LMX Hotel and Convention Center,"Purok 1 Bancasi, Butuan CIty",9458823254,lmtingbutuan2020@gmail.com / charloroble.business@gmail.com,DOT-R13-MCF-00053-2021,30-Jun-26,Renewal
,,,,,,,,
1,Tour Guide [Regional Guide],Tryll G. Chiu,Butuan City,9399201285,llyrt@yahoo.com,DOT-R13-TGD-00008-2020,30-Jun-26,Renewal
,,,,,,,,
1,Tourism Trainer,TRYLL GALANO CHIU,Butuan City,9399201285,tryllchiu76@gmail.com,DOT-R13-TRN-00025-2020,30-Jul-25,Renewal
,,,,,,,,
1,Spa,Aum Wellness Spa and Massage,"2nd Floor Watergate Center, J. Rosales Ave, Butuan City",9564672292,aygc.creativemarketing@gmail.com,DOT-R13-SPA-01243-2025,18-Feb-2026,09-Jan-00
,,,,,,,,
1,Restaurant,NATAD NI-OLYMPIA NATIVE PRODUCTS STORE,"Magsaysay, Banza, Buuan City, Agusan del Norte",9399216113,gagaruiz58@gmail.com,DOT-R13-RST-01097-2024,23-Oct-25,New
2,Restaurant ,BUTUAN LECHON AND SEAFOODS GRILL ( FORMERLY KNOWN AS MACKGAB CORPORATION),Butuan City,9516745622,butuanlechon2022@gmail.com,DOT-R13-RST-00465-2023,25-Apr-24,23-Jan-00
,,,,,,,,
1,Tourism Recereation Center,Amarah Fruit Farm,Purok 11 Brgy. Sumile Butuan City,9670793160,rhemelady@yahoo.com,DOT-R13-SRC-01336-2025,"May 15, 2026",03-Jan-00
,,,,,,,,
,CABADBARAN CITY,,,,,,,
1,Mabuhay Accommodation,Ruth Apartelle,Cabadbaran City,9853551688,ruthapartelle211@gmail.com,DOT-R13-MAB-00098-2021,31-Oct-26,Renewal
2,Mabuhay Accommodation,Ladolcevita Inland Resort,Cabadbaran City,9302189543,ladolcevitainlandresort2019@gmail.com,DOT-R13-MAB-01138-2024,31-Oct-26,Renewal
3,Mabuhay Accommodation,Gazebo Pools and Restaurant,Cabadbaran City,9189183394,springgazebo@gmail.com,DOT-R13-MAB-00108-2021,31-Oct-26,Renewal
,,,,,,,,
,BUENAVISTA,,,,,,,
1,Resort,Ocean Bloom Resort,"Purok 4, Barangay Manapa, Buenavista, Agusan del Norte",9175005304,paulinojr.servado@yahoo.com,DOT-R13-RES-00039-2020,31-Oct-26,15-Jan-00
,,,,,,,,
1,Mabuhay Accommodation,NMSF BUENAVISTA ECOVILLA,"Buenavista, Agusan del Norte",(085)808-02-93,nmsf@tesda.gov.ph,DOT-R13-MAB-01315-2025,31-Oct-25,08-Jan-00
,,,,,,,,
,KITCHARAO,,,,,,,
1,Restaurant,HIGHGROUND CAFE,"PUROK 5, BRGY. CROSSING, KITCHARAO AGUSAN DEL NORTE",9635498580,negosyocenterkitcharao2022@gmail.com,DOT-R13-RST-00987-2024,13-Aug-25,New
2,Restaurant,BAYAY SAN ROQUE RESTAURANT,"P-2 San Roque, Kitcharao, Agusan del Norte",9174510615,balaisanroque@gmail.com,DOT-R13-RST-01304-2025,"March 25, 2026",4
3,Restaurant,DHELIA'S CAFE,"P-1 Poblacion, Kitcharao, Agusan del Norte",9273692669,maibayogbog3196@gmail.com,DOT-R13-RST-01310-2025,"March 28, 2026",7
,,,,,,,,
,CARMEN,,,,,,,
1,Restaurant,Mahigalaon Beach Resort,"Carmen, Agusan del Norte",9173119042,arlim.abejay7@gmail.com,DOT-R13-RST-00515-2023,27-Jun-26,36
37,Mabuhay Accommodation,Horizon Bay Events Place Rental,"Brgy. Caloc-an Magallanes, Agusan del Norte",09177177985,,DOT-R13-MAB-00155-2021,31-Oct-22,
